G-alpha / q,G-alpha / 11,G-alpha / 14,G-alpha / 15,G-alpha / i3,G-alpha / i1,G-alpha / i2,G-alpha / o,G-alpha / t1,G-alpha / t2,G-alpha / t3,G-alpha / z,G-alpha / 13,G-alpha / 12,G-alpha / s1,G-alpha / s2,G-alpha / olf,A
24,56,NA,36,20,NA,53,32,NA,97,50,NA,NA,NA,NA,NA,NA,FZD1
NA,42,NA,96,33,NA,46,NA,27,17,47,NA,72,NA,NA,NA,NA,FZD2
NA,95,NA,NA,74,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZD3
NA,22,77,NA,26,NA,30,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,FZD4
NA,69,NA,NA,25,NA,29,NA,NA,28,NA,NA,NA,NA,69,NA,45,FZD5
NA,73,NA,NA,10,96,24,12,NA,92,NA,NA,NA,NA,NA,NA,NA,FZD6
NA,NA,NA,75,44,NA,76,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,FZD7
NA,16,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FZD8
NA,2,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,FZD9
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,52,NA,NA,NA,NA,NA,NA,FZD10
